id,Type,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
10,Keyline,0,0,0,0.00000000000000,107.70972453160861,402021.626866171,5532053.41562761
10,Keyline,1,0,1,3.03308359584340,107.70972453160861,402024.516211527,5532052.49297951
13,Keyline,0,0,0,0.00000000000000,105.20803919565073,402052.122813796,5531992.4844329
13,Keyline,1,0,1,2.59162131025665,105.20803919565073,402054.623675743,5531991.80458693
15,Keyline,0,0,0,0.00000000000000,128.29016319477458,401840.132273414,5531844.35085291
15,Keyline,1,0,1,2.93880862696252,128.29016319477458,401842.438893657,5531842.52983693
16,Keyline,0,0,0,0.00000000000000,133.53119928448609,401708.460677894,5531789.04052752
16,Keyline,1,0,1,2.67919801890512,133.53119928448609,401710.40309494,5531787.19523133
18,Keyline,0,0,0,0.00000000000000,176.34749210355605,401868.473964235,5531953.65162379
18,Keyline,1,0,1,3.07525936457450,176.34749210355605,401868.669874003,5531950.58261099
20,Keyline,0,0,0,0.00000000000000,97.99747347702944,401971.136163076,5531770.55114527
20,Keyline,1,0,1,2.96675988145395,97.99747347702944,401974.074068858,5531770.13838165
23,Keyline,0,0,0,0.00000000000000,163.46776856825775,402119.502933229,5531979.79651776
23,Keyline,1,0,1,2.93157808475531,163.46776856825775,402120.337127489,5531976.98613166
5,Keyline,0,0,0,0.00000000000000,125.89266568228317,401813.065905887,5531900.88125903
5,Keyline,1,0,1,2.27781529163745,125.89266568228317,401814.911202081,5531899.54584731
6,Keyline,0,0,0,0.00000000000000,102.88257186459892,401879.023104713,5531807.05644564
6,Keyline,1,0,1,2.55920961318997,102.88257186459892,401881.517896607,5531806.48586064
14,Keyline,0,0,0,0.00000000000000,129.41654677480466,401912.913920875,5531992.58049264
14,Keyline,1,0,1,2.51164337541577,129.41654677480466,401914.854291552,5531990.98571551
2,Keyline,0,0,0,0.00000000000000,169.41344335300741,401758.015639791,5531786.03697915
2,Keyline,1,0,1,2.60385414878964,169.41344335300741,401758.494021746,5531783.47744655
3,Keyline,0,0,0,0.00000000000000,201.14245301242693,401721.057240266,5531914.34057349
3,Keyline,1,0,1,2.50845477226405,201.14245301242693,401720.15247079,5531912.00097149
4,Keyline,0,0,0,0.00000000000000,270.00000000000000,401700.491512457,5531987.01041142
4,Keyline,1,0,1,2.47477804491064,270.00000000000000,401698.016734412,5531987.01041142
7,Keyline,0,0,0,0.00000000000000,89.74759732440580,401982.481527777,5531885.50522938
7,Keyline,1,0,1,2.54775540694297,89.74759732440580,401985.029258463,5531885.51645286
8,Keyline,0,0,0,0.00000000000000,91.02303018277127,401987.027038472,5531903.06998058
8,Keyline,1,0,1,2.51446104283762,91.02303018277127,401989.541098708,5531903.02508665
9,Keyline,0,0,0,0.00000000000000,110.52919085855007,402004.087285187,5531956.91942226
9,Keyline,1,0,1,2.49161326995662,110.52919085855007,402006.420665181,5531956.04565198
11,Keyline,0,0,0,0.00000000000000,280.36127695113396,402018.003852095,5532004.5190452
11,Keyline,1,0,1,3.05775555492377,280.36127695113396,402014.995958599,5532005.06899587
12,Keyline,0,0,0,0.00000000000000,307.61742365070313,402059.003236213,5531906.53803689
12,Keyline,1,0,1,2.40876449960213,307.61742365070313,402057.09524407,5531908.00831319
17,Keyline,0,0,0,0.00000000000000,130.62225907613947,401728.011493256,5531761.56991617
17,Keyline,1,0,1,3.32703874622050,130.62225907613947,401730.536776975,5531759.40378392
19,Keyline,0,0,0,0.00000000000000,244.83000408264789,401751.086974708,5531848.4508996
19,Keyline,1,0,1,3.29865407721902,244.83000408264789,401748.101528178,5531847.0479642
21,Keyline,0,0,0,0.00000000000000,39.61629832036248,401757.546089288,5531939.60241838
21,Keyline,1,0,1,3.04506150872544,39.61629832036248,401759.487751881,5531941.94812637
22,Keyline,0,0,0,0.00000000000000,270.99203558084133,401898.553021899,5531918.45457016
22,Keyline,1,0,1,2.59301328143520,270.99203558084133,401895.960397281,5531918.4994641
1,Keyline,0,0,0,0.00000000000000,107.44934864165154,401773.767507473,5531747.92367902
1,Keyline,1,0,1,2.48041517866392,107.44934864165154,401776.133779928,5531747.17989536
24,Graben,0,0,0,0.00000000000000,269.71062982570203,401783.030812205,5531711.46808863
24,Graben,1,0,1,2.55194392574914,269.71062982570203,401780.478900825,5531711.45520019
25,Graben,0,0,0,0.00000000000000,140.42522636614726,401741.929572867,5531715.50217076
25,Graben,1,0,1,3.27731547267697,140.42522636614726,401744.01750036,5531712.97603626
26,Graben,0,0,0,0.00000000000000,89.09540495410634,401715.998028952,5531708.91617725
26,Graben,1,0,1,2.44910908242050,89.09540495410634,401718.446832801,5531708.95484257
27,Graben,0,0,0,0.00000000000000,89.14062776550054,401721.411174302,5531736.43299945
27,Graben,1,0,1,2.57797823559619,89.14062776550054,401723.988862564,5531736.47166477
28,Graben,0,0,0,0.00000000000000,123.72238325233580,401698.501969874,5531734.58995234
28,Graben,1,0,1,3.16889267866394,123.72238325233580,401701.137656122,5531732.8306801
29,Graben,0,0,0,0.00000000000000,180.00000000000000,401710.507552954,5531769.54984939
29,Graben,1,0,1,2.53902293741703,180.00000000000000,401710.507552954,5531767.01082646
30,Graben,0,0,0,0.00000000000000,118.06091437046780,401796.038471597,5531842.39854179
30,Graben,1,0,1,2.81517680422123,118.06091437046780,401798.522718659,5531841.07425444
31,Graben,0,0,0,0.00000000000000,90.52467196662757,401850.977063736,5531690.98030012
31,Graben,1,0,1,2.63901900530901,90.52467196662757,401853.615972094,5531690.95613429
32,Graben,0,0,0,0.00000000000000,90.43736387340103,401854.427943897,5531726.0110836
32,Graben,1,0,1,2.53265250510653,90.43736387340103,401856.960522614,5531725.99175093
33,Graben,0,0,0,0.00000000000000,110.16389722655973,401866.510857625,5531769.54823834
33,Graben,1,0,1,3.14072466716395,110.16389722655973,401869.459088575,5531768.46560927
35,Graben,0,0,0,0.00000000000000,90.00000000000000,401886.993812977,5531854.9599389
35,Graben,1,0,1,2.52291238645557,90.00000000000000,401889.516725363,5531854.9599389
34,Graben,0,0,0,0.00000000000000,140.28544674513378,401958.002680374,5531963.97681973
34,Graben,1,0,1,3.11639872381170,140.28544674513378,401959.993944556,5531961.57956964
36,Graben,0,0,0,0.00000000000000,91.41792282320574,401946.976618833,5531674.97930024
36,Graben,1,0,1,2.60426257450803,91.41792282320574,401949.580083978,5531674.91485803
37,Graben,0,0,0,0.00000000000000,112.60940569781302,401958.45377582,5531724.98645252
37,Graben,1,0,1,2.71549548742900,112.60940569781302,401960.960577655,5531723.94248877
38,Graben,0,0,0,0.00000000000000,90.00000000000000,401978.52752316,5531828.98972967
38,Graben,1,0,1,3.10611435573082,90.00000000000000,401981.633637516,5531828.98972967
40,Graben,0,0,0,0.00000000000000,101.40655258214528,402074.585076243,5532055.0401018
40,Graben,1,0,1,2.99777498142588,101.40655258214528,402077.523640862,5532054.4472335
39,Graben,0,0,0,0.00000000000000,140.47736872744318,401717.008160541,5531823.00949289
39,Graben,1,0,1,3.34168726559547,140.47736872744318,401719.134753357,5531820.43180463
41,Graben,0,0,0,0.00000000000000,128.92251058120206,401691.476158306,5531898.05244242
41,Graben,1,0,1,3.29253169118880,128.92251058120206,401694.037736016,5531895.98384759
42,Graben,0,0,0,0.00000000000000,134.03829066457533,401675.526712185,5531965.48476736
42,Graben,1,0,1,2.85065000966572,134.03829066457533,401677.575974353,5531963.5031695
43,Graben,0,0,0,0.00000000000000,90.00000000000000,401696.92796898,5532032.00845718
43,Graben,1,0,1,2.72590533702169,90.00000000000000,401699.653874317,5532032.00845718
44,Graben,0,0,0,0.00000000000000,90.41974179697353,401779.014451683,5532025.95733399
44,Graben,1,0,1,2.63897917289593,90.41974179697353,401781.653360041,5532025.93800132
45,Graben,0,0,0,0.00000000000000,151.14772365514420,401841.536280478,5532008.07462167
45,Graben,1,0,1,2.92462028434292,151.14772365514420,401842.947564801,5532005.51304396
46,Graben,0,0,0,0.00000000000000,150.11347305437909,401893.589472818,5532032.4821074
46,Graben,1,0,1,2.90988674808281,150.11347305437909,401895.039422465,5532029.95919502
47,Graben,0,0,0,0.00000000000000,133.80926610238899,401807.472130095,5531810.52381538
47,Graben,1,0,1,2.96024974900270,133.80926610238899,401809.608389242,5531808.47455321
48,Graben,0,0,0,0.00000000000000,149.59917514993285,401953.453060592,5531931.54627929
48,Graben,1,0,1,3.03716673223632,149.59917514993285,401954.990007219,5531928.92670359
49,Graben,0,0,0,0.00000000000000,179.77963270359106,401945.526669187,5531890.96702182
49,Graben,1,0,1,2.51326464472178,179.77963270359106,401945.536335518,5531888.45377577
50,Graben,0,0,0,0.00000000000000,315.68368806237561,401957.976903492,5531860.98206312
50,Graben,1,0,1,2.86412261470601,315.68368806237561,401955.975972979,5531863.03132528
51,Graben,0,0,0,0.00000000000000,180.00000000000000,402121.985541272,5531801.93044714
51,Graben,1,0,1,2.55191137921065,180.00000000000000,402121.985541272,5531799.37853576
52,Graben,0,0,0,0.00000000000000,90.32740087421649,402094.96331301,5531888.0429567
52,Graben,1,0,1,2.53745330968172,90.32740087421649,402097.500724893,5531888.02845721
53,Graben,0,0,0,0.00000000000000,101.18537661438135,402111.492738991,5531725.98208461
53,Graben,1,0,1,2.61610457463609,101.18537661438135,402114.059149866,5531725.47460224
54,Graben,0,0,0,0.00000000000000,114.46679088107796,401839.424187158,5531867.61316617
54,Graben,1,0,1,3.01076728677014,114.46679088107796,401842.164591992,5531866.36620947
55,Graben,0,0,0,0.00000000000000,108.69111304913268,401870.076122704,5531924.98767372
55,Graben,1,0,1,3.07666195655905,108.69111304913268,401872.990521495,5531924.00170796
56,Graben,0,0,0,0.00000000000000,44.59365377017319,401740.537621208,5532021.43832426
56,Graben,1,0,1,2.89133193607037,44.59365377017319,401742.567550714,5532023.49725276
57,Graben,0,0,0,0.00000000000000,64.46586701398989,401734.60732715,5531879.51725278
57,Graben,1,0,1,2.52282905446565,64.46586701398989,401736.883748097,5531880.60471501
58,Graben,0,0,0,0.00000000000000,90.31308857923078,402031.484517449,5531930.54098087
58,Graben,1,0,1,2.65344747048424,90.31308857923078,402034.137925304,5531930.52648137
59,Graben,0,0,0,0.00000000000000,149.70355182602961,401975.462933578,5532028.64815089
59,Graben,1,0,1,3.08135304441957,149.70355182602961,401977.017396382,5532025.98762801
60,Graben,0,0,0,0.00000000000000,148.37444046610528,401928.485274029,5531945.09577517
60,Graben,1,0,1,3.10698479820608,148.37444046610528,401930.114470622,5531942.45019905
61,Graben,0,0,0,0.00000000000000,127.73304559153792,401877.935339382,5531883.97100943
61,Graben,1,0,1,3.17505162004989,127.73304559153792,401880.446394681,5531882.02793093
62,Graben,0,0,0,0.00000000000000,128.08316279970472,401778.031210707,5531860.9978428
62,Graben,1,0,1,3.24716376721904,128.08316279970472,401780.587106279,5531858.99497726
63,Graben,0,0,0,0.00000000000000,66.19405648487064,401705.838370865,5531943.93740145
63,Graben,1,0,1,2.77724273139235,66.19405648487064,401708.379319679,5531945.05840828
64,Graben,0,0,0,0.00000000000000,148.98611594223286,401677.54415848,5531798.96879821
64,Graben,1,0,1,2.92990766077248,148.98611594223286,401679.053781011,5531796.45774291
65,Graben,0,0,0,0.00000000000000,89.76518254975421,401836.596344187,5531764.50904827
65,Graben,1,0,1,2.73527963615846,89.76518254975421,401839.331600852,5531764.52025833
